,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Kieta,90,PG,1601559593,81,-6.22,155.63,77.65,1.01
1,Yangi Marg`ilon,66,UZ,1601559624,55,40.43,71.72,62.6,2.24
2,Ushuaia,75,AR,1601559625,100,-54.8,-68.3,26.6,14.99
3,Cape Town,40,ZA,1601559418,51,-33.93,18.42,62.6,31.09
4,Touros,75,BR,1601559625,83,-5.2,-35.46,77.0,10.29
5,Arraial do Cabo,40,BR,1601559626,74,-22.97,-42.03,80.6,13.87
6,Albany,36,US,1601559626,49,42.6,-73.97,63.0,3.0
7,Punta Arenas,0,CL,1601559626,40,-53.15,-70.92,33.8,19.46
8,Mar del Plata,93,AR,1601559563,54,-38.0,-57.56,55.0,11.41
9,Guerrero Negro,0,MX,1601559627,54,27.98,-114.06,73.9,1.77
10,Carnarvon,40,AU,1601559627,82,-24.87,113.63,68.0,20.8
11,Barrow,90,US,1601559628,86,71.29,-156.79,33.8,20.8
12,Yaya,100,RU,1601559628,83,56.21,86.44,37.69,3.29
13,Lüderitz,6,NA,1601559629,59,-26.65,15.16,58.44,19.3
14,Sioux Lookout,75,CA,1601559629,90,50.1,-91.92,32.0,8.05
15,Whitianga,2,NZ,1601559630,81,-36.83,175.7,49.17,1.95
16,Cockburn Town,30,TC,1601559627,78,21.46,-71.14,84.31,17.4
17,Ilulissat,5,GL,1601559630,39,69.22,-51.1,30.2,12.75
18,Novaya Ladoga,100,RU,1601559631,26,60.1,32.3,62.01,6.31
19,Dikson,100,RU,1601559631,80,73.51,80.55,39.45,21.25
20,Paita,79,PE,1601559632,72,-5.09,-81.11,66.2,21.92
21,Gien,17,FR,1601559632,92,47.69,2.63,60.01,13.24
22,Plettenberg Bay,97,ZA,1601559413,77,-34.05,23.37,56.41,20.27
23,Zaozyornoye,0,UA,1601559633,53,45.16,33.28,68.5,7.23
24,Bredasdorp,97,ZA,1601559633,58,-34.53,20.04,59.0,23.04
25,West Wendover,1,US,1601559634,49,40.74,-114.07,46.4,8.05
26,Petropavlovsk-Kamchatskiy,32,RU,1601559634,100,53.05,158.65,39.2,8.95
27,Banda Aceh,66,ID,1601559635,79,5.56,95.32,81.57,6.2
28,Jamestown,90,US,1601559635,93,42.1,-79.24,50.0,13.87
29,Mataura,41,NZ,1601559635,81,-46.19,168.86,43.0,1.99
30,Yellowknife,75,CA,1601559636,93,62.46,-114.35,39.2,12.75
31,Faanui,51,PF,1601559636,79,-16.48,-151.75,78.1,21.85
32,Safi,0,MA,1601559637,67,32.3,-9.24,72.37,20.78
33,Fairbanks,1,US,1601559515,75,64.84,-147.72,46.99,4.7
34,Talnakh,75,RU,1601559637,98,69.49,88.4,32.0,24.61
35,Atuona,8,PF,1601559638,78,-9.8,-139.03,77.95,22.48
36,‘Āhuimanu,40,US,1601559638,73,21.44,-157.84,75.2,4.61
37,Khatanga,100,RU,1601559639,98,71.97,102.5,28.45,18.19
38,Hermanus,100,ZA,1601559639,69,-34.42,19.23,57.99,8.01
39,Rikitea,5,PF,1601559640,80,-23.12,-134.97,72.75,21.34
40,Östersund,75,SE,1601559611,93,63.18,14.64,51.8,10.29
41,Hofn,0,IS,1601559640,70,64.25,-15.21,46.4,3.36
42,Ponta do Sol,40,PT,1601559640,60,32.67,-17.1,75.2,12.75
43,Quatre Cocos,20,MU,1601559641,65,-20.21,57.76,77.0,4.7
44,Hilo,75,US,1601559613,78,19.73,-155.09,73.4,5.82
45,Gáldar,20,ES,1601559642,54,28.15,-15.65,80.6,26.4
46,Ribeira Grande,75,PT,1601559642,78,38.52,-28.7,71.6,3.36
47,Busselton,25,AU,1601559643,77,-33.65,115.33,59.0,9.46
48,Caravelas,14,BR,1601559643,56,-17.71,-39.25,83.53,9.46
49,Kharan,0,PK,1601559643,15,28.58,65.42,81.72,8.03
50,Bosaso,0,SO,1601559644,57,11.28,49.18,86.23,5.82
51,Chimbote,70,PE,1601559645,77,-9.09,-78.58,64.67,7.43
52,Norman Wells,75,CA,1601559645,84,65.28,-126.83,32.0,4.7
53,Port Hedland,0,AU,1601559645,36,-20.32,118.57,75.2,6.93
54,Qaanaaq,0,GL,1601559647,76,77.48,-69.36,12.7,7.29
55,Corinth,1,GR,1601559647,38,37.94,22.96,78.01,13.0
56,Gumlā,100,IN,1601559647,74,23.05,84.55,74.07,4.27
57,Kavieng,100,PG,1601559648,84,-2.57,150.8,80.02,6.17
58,Pandan,97,PH,1601559648,78,14.05,124.17,82.26,1.59
59,Klaksvík,100,FO,1601559649,70,62.23,-6.59,48.2,19.46
60,Lebu,0,CL,1601559649,63,-37.62,-73.65,49.28,1.7
61,Chokurdakh,0,RU,1601559649,93,70.63,147.92,27.48,12.33
62,Tiksi,38,RU,1601559650,94,71.69,128.87,24.53,17.52
63,Kiunga,99,PG,1601559650,98,-6.12,141.29,72.57,2.77
64,Nanma,83,CN,1601559453,86,36.18,118.16,70.0,4.94
65,Birao,84,CF,1601559651,61,10.28,22.79,88.0,4.5
66,Nemuro,100,JP,1601559651,86,43.32,145.57,57.27,10.33
67,Rabat,40,MA,1601559652,69,33.99,-6.84,73.4,8.05
68,Baker City,1,US,1601559652,80,44.77,-117.83,35.6,2.01
69,Bluff,17,NZ,1601559653,81,-46.6,168.33,43.0,1.99
70,Sitka,90,US,1601559653,93,57.05,-135.33,48.2,2.62
71,Castro,0,BR,1601559653,31,-24.79,-50.01,89.55,12.93
72,Adrar,0,MR,1601559654,9,20.5,-10.07,103.48,22.26
73,Mazatlán,90,MX,1601559654,100,23.22,-106.42,81.0,6.71
74,Ponoka,75,CA,1601559655,64,52.68,-113.58,42.01,3.36
75,Saint-Philippe,75,RE,1601559655,65,-21.36,55.77,77.0,4.7
76,Tomari,100,RU,1601559655,82,47.77,142.07,51.04,8.93
77,Butaritari,0,KI,1601559656,74,3.07,172.79,80.8,17.2
78,Oistins,20,BB,1601559656,78,13.07,-59.53,80.6,17.22
79,Columbus,1,US,1601559429,87,39.96,-83.0,55.99,4.7
80,Saskylakh,0,RU,1601559657,95,71.92,114.08,19.58,7.92
81,Mahina,20,PF,1601559657,83,-17.51,-149.49,73.4,2.24
82,Hobart,20,AU,1601559658,50,-42.88,147.33,53.6,13.87
83,Portland,90,US,1601559433,93,45.52,-122.68,60.01,3.36
84,Balakovo,0,RU,1601559658,34,52.03,47.8,64.18,7.54
85,Wankyi,100,GH,1601559659,92,7.74,-2.1,75.42,9.22
86,Novy Urengoy,73,RU,1601559361,90,66.08,76.63,44.26,10.29
87,Koulamoutou,100,GA,1601559660,89,-1.13,12.47,73.87,1.86
88,Batagay,100,RU,1601559660,85,67.63,134.63,30.29,2.21
89,Black River,40,JM,1601559661,78,18.03,-77.85,81.0,13.87
90,Eston,75,CA,1601559661,86,51.15,-108.75,28.4,4.7
91,Rāni,1,IN,1601559621,39,25.35,73.31,86.11,6.33
92,Vaini,75,TO,1601559662,94,-21.2,-175.2,73.4,8.05
93,Puerto Escondido,75,MX,1601559662,78,15.85,-97.07,73.4,6.93
94,Mahébourg,20,MU,1601559663,65,-20.41,57.7,77.0,4.7
95,Tuktoyaktuk,75,CA,1601559663,93,69.45,-133.04,35.6,13.87
96,Meulaboh,99,ID,1601559664,84,4.14,96.13,79.23,4.52
97,Flinders,0,AU,1601559664,79,-34.58,150.86,55.0,1.01
98,Nanortalik,79,GL,1601559665,75,60.14,-45.24,37.78,20.54
99,Sisimiut,83,GL,1601559665,82,66.94,-53.67,25.38,12.93
100,‘Ewa Beach,1,US,1601559666,64,21.32,-158.01,73.4,4.7
101,Puerto Ayora,99,EC,1601559666,95,-0.74,-90.35,64.99,10.0
102,Santa Fe,0,AR,1601559666,32,-31.63,-60.7,73.0,8.01
103,New Norfolk,20,AU,1601559667,50,-42.78,147.06,53.6,13.87
104,Bambous Virieux,20,MU,1601559667,65,-20.34,57.76,77.0,4.7
105,Caraballeda,100,VE,1601559438,70,10.61,-66.85,75.99,0.63
106,Sistranda,40,NO,1601559668,55,63.73,8.83,64.4,21.92
107,Fortuna,90,US,1601559483,100,40.6,-124.16,53.6,9.17
108,Kumul,19,CN,1601559668,35,42.8,93.45,51.42,3.42
109,Bengkulu,97,ID,1601559518,83,-3.8,102.27,78.93,3.15
110,Muyezerskiy,0,RU,1601559669,71,63.93,31.65,53.02,3.06
111,Batagay-Alyta,8,RU,1601559669,86,67.8,130.41,23.9,1.74
112,Taoudenni,0,ML,1601559670,6,22.68,-3.98,111.09,4.94
113,Port Alfred,73,ZA,1601559670,70,-33.59,26.89,57.65,16.55
114,Bethel,1,US,1601559671,77,41.37,-73.41,60.8,5.82
115,Trelew,93,AR,1601559671,49,-43.25,-65.31,46.13,19.71
116,Mount Gambier,0,AU,1601559672,81,-37.83,140.77,50.0,10.29
117,Novikovo,96,RU,1601559672,31,51.15,37.89,66.27,12.48
118,Dawei,88,MM,1601559673,89,14.08,98.2,77.16,0.69
119,Seoul,90,KR,1601559405,77,37.57,126.98,64.4,4.34
120,Kāranja,42,IN,1601559673,80,20.48,77.48,76.62,5.53
121,Kununurra,40,AU,1601559629,88,-15.77,128.73,77.0,8.05
122,Kapaa,1,US,1601559674,88,22.08,-159.32,73.4,8.05
123,Oyem,100,GA,1601559675,63,1.6,11.58,80.04,2.21
124,Nouakchott,0,MR,1601559675,15,18.09,-15.98,105.8,17.22
125,Shimoda,0,JP,1601559676,73,34.67,138.95,68.31,5.46
126,Isugod,70,PH,1601559676,79,9.34,118.12,80.71,1.28
127,Longyearbyen,75,SJ,1601559677,87,78.22,15.64,35.6,0.98
128,Catuday,100,PH,1601559677,76,16.29,119.81,82.18,3.27
129,Cabo San Lucas,5,MX,1601559654,83,22.89,-109.91,78.01,4.7
130,Kahului,90,US,1601559678,78,20.89,-156.47,78.8,5.82
131,Gari,0,RU,1601559679,87,59.43,62.35,49.57,4.09
132,Fiumicino,20,IT,1601559679,64,41.77,12.23,73.0,9.17
133,Mount Isa,0,AU,1601559679,22,-20.73,139.5,77.0,6.93
134,Usinsk,100,RU,1601559680,89,65.99,57.53,49.53,9.84
135,Mareeba,75,AU,1601559680,73,-17.0,145.43,73.4,6.93
136,Bone,0,DE,1601559681,60,51.97,12.14,68.0,4.0
137,Cap-aux-Meules,20,CA,1601559682,77,47.38,-61.86,62.6,13.87
138,Sinjai,93,ID,1601559682,85,-5.12,120.25,77.14,5.3
139,Mina,5,MX,1601559682,81,26.0,-100.53,51.8,3.2
140,Abu Kamal,29,SY,1601559683,15,34.45,40.92,96.96,7.49
141,Zwedru,96,LR,1601559683,94,6.07,-8.13,75.56,3.29
142,Rome,1,US,1601559683,67,43.21,-75.46,60.01,9.17
143,San Vicente,1,AR,1601559684,21,-26.62,-54.13,97.34,9.95
144,Elko,1,US,1601559684,35,41.0,-115.5,51.01,4.7
145,Nikolskoye,2,RU,1601559684,55,59.7,30.79,63.0,8.95
146,Berbera,0,SO,1601559685,64,10.44,45.01,89.1,12.75
147,Cherskiy,100,RU,1601559685,83,68.75,161.3,35.47,8.39
148,Hasaki,2,JP,1601559685,100,35.73,140.83,59.0,3.36
149,Soc Trang,75,VN,1601559686,100,9.6,105.98,78.8,4.7
150,Thompson,90,CA,1601559582,92,55.74,-97.86,30.2,5.82
151,Chulym,97,RU,1601559687,76,55.1,80.96,42.69,4.34
152,Izhmorskiy,100,RU,1601559688,87,56.19,86.64,36.14,3.2
153,Chui,87,UY,1601559688,79,-33.7,-53.46,68.36,7.49
154,Dembī Dolo,92,ET,1601559689,83,8.53,34.8,67.12,3.4
155,Cururupu,85,BR,1601559689,63,-1.83,-44.87,83.43,8.1
156,Severo-Kuril'sk,99,RU,1601559689,84,50.68,156.12,47.59,10.94
157,The Pas,90,CA,1601559690,94,53.83,-101.25,41.0,5.82
158,Itarema,22,BR,1601559690,46,-2.92,-39.92,88.9,16.75
159,Lexington,1,US,1601559463,76,37.99,-84.48,57.99,3.36
160,Diamantino,38,BR,1601559691,14,-14.41,-56.45,103.8,11.23
161,Arlit,0,NE,1601559691,19,18.74,7.39,101.43,6.35
162,Hithadhoo,89,MV,1601559692,66,-0.6,73.08,83.07,2.46
163,Aurangabad,40,IN,1601559670,78,19.88,75.33,80.6,2.24
164,Villazón,0,BO,1601559693,28,-22.09,-65.59,60.06,4.61
165,Port Elizabeth,90,ZA,1601559686,67,-33.92,25.57,57.2,17.22
166,Tasiilaq,75,GL,1601559693,55,65.61,-37.64,39.2,1.12
167,Maunabo,100,PR,1601559694,79,18.01,-65.9,84.99,10.0
168,Saint George,1,US,1601559548,14,37.1,-113.58,62.6,10.29
169,Icó,54,BR,1601559694,28,-6.4,-38.86,93.43,9.04
170,Aklavik,90,CA,1601559695,100,68.22,-135.01,35.6,8.05
171,Pangkalanbuun,90,ID,1601559695,89,-2.68,111.62,77.79,2.04
172,Mathathane,37,BW,1601559696,31,-22.27,28.75,91.33,12.35
173,Port Blair,100,IN,1601559551,82,11.67,92.75,81.63,13.56
174,Aripuanã,42,BR,1601559696,45,-9.17,-60.63,92.68,3.33
175,Kruisfontein,100,ZA,1601559697,68,-34.0,24.73,57.99,11.99
176,Montes Altos,47,BR,1601559697,36,-5.83,-47.07,93.83,5.84
177,Fairview,1,US,1601559698,77,40.81,-74.0,66.99,3.36
178,Barcelos,40,PT,1601559658,68,41.54,-8.62,68.0,8.05
179,Cairns,75,AU,1601559532,73,-16.92,145.77,73.4,6.93
180,Alta,75,NO,1601559497,87,69.97,23.27,51.8,3.36
181,General Roca,0,AR,1601559677,32,-39.03,-67.58,51.8,19.46
182,Flin Flon,20,CA,1601559699,90,54.77,-101.86,32.0,2.24
183,Avarua,100,CK,1601559699,88,-21.21,-159.78,77.0,16.11
184,Rjukan,75,NO,1601559700,71,59.88,8.59,55.4,6.93
185,Harrismith,46,ZA,1601559700,59,-28.27,29.13,67.35,3.31
186,Namatanai,100,PG,1601559700,79,-3.67,152.43,80.06,5.19
187,Isangel,14,VU,1601559701,82,-19.55,169.27,71.44,13.51
